AdmArea,District,cost_type,count,sum
Северо-Восточный административный округ,район Марьина Роща,Платная,3,24
Северо-Восточный административный округ,район Отрадное,Бесплатная,15,131
Северо-Восточный административный округ,район Отрадное,Платная,13,111
Северо-Восточный административный округ,район Ростокино,Бесплатная,2,18
Северо-Восточный административный округ,район Ростокино,Платная,2,20
Северо-Восточный административный округ,район Свиблово,Платная,1,10
Северо-Восточный административный округ,район Северное Медведково,Бесплатная,9,84
Северо-Восточный административный округ,район Северное Медведково,Платная,6,52
Северо-Восточный административный округ,район Северный,Бесплатная,4,36
Северо-Восточный административный округ,район Северный,Платная,1,10
Северо-Восточный административный округ,район Южное Медведково,Бесплатная,7,60
Северо-Восточный административный округ,район Южное Медведково,Платная,2,18
Северо-Западный административный округ,район Куркино,Платная,2,20
Северо-Западный административный округ,район Митино,Бесплатная,3,15
Северо-Западный административный округ,район Митино,Платная,3,18
Северо-Западный административный округ,район Покровское-Стрешнево,Бесплатная,2,16
Северо-Западный административный округ,район Покровское-Стрешнево,Платная,2,16
Северо-Западный административный округ,район Северное Тушино,Бесплатная,3,30
Северо-Западный административный округ,район Северное Тушино,Платная,3,30
Северо-Западный административный округ,район Строгино,Бесплатная,4,34
Северо-Западный административный округ,район Строгино,Платная,4,34
Северо-Западный административный округ,район Хорошёво-Мнёвники,Бесплатная,1,6
Северо-Западный административный округ,район Хорошёво-Мнёвники,Платная,3,28
Северо-Западный административный округ,район Щукино,Бесплатная,2,11
Северо-Западный административный округ,район Щукино,Платная,2,18
Северо-Западный административный округ,район Южное Тушино,Бесплатная,2,12
Северо-Западный административный округ,район Южное Тушино,Платная,5,44
Центральный административный округ,Басманный район,Бесплатная,37,116
Центральный административный округ,Басманный район,Платная,45,109
Центральный административный округ,Красносельский район,Бесплатная,13,35
Центральный административный округ,Красносельский район,Платная,10,44
Центральный административный округ,Мещанский район,Бесплатная,11,34
Центральный административный округ,Мещанский район,Платная,8,18
Центральный административный округ,Пресненский район,Бесплатная,23,80
Центральный административный округ,Пресненский район,Платная,23,83
Центральный административный округ,Таганский район,Бесплатная,8,19
Центральный административный округ,Таганский район,Платная,9,20
Центральный административный округ,Тверской район,Бесплатная,19,56
Центральный административный округ,Тверской район,Платная,20,61
Центральный административный округ,район Арбат,Бесплатная,7,13
Центральный административный округ,район Арбат,Платная,7,9
Центральный административный округ,район Замоскворечье,Бесплатная,7,9
Центральный административный округ,район Замоскворечье,Платная,5,16
Центральный административный округ,район Хамовники,Бесплатная,7,24
Центральный административный округ,район Хамовники,Платная,3,4
Центральный административный округ,район Хорошёво-Мнёвники,Платная,1,8
Центральный административный округ,район Якиманка,Бесплатная,6,18
Центральный административный округ,район Якиманка,Платная,3,8
Юго-Восточный административный округ,Гагаринский район,Бесплатная,1,8
Юго-Восточный административный округ,Нижегородский район,Бесплатная,2,16
Юго-Восточный административный округ,Рязанский район,Бесплатная,2,16
Юго-Восточный административный округ,Рязанский район,Платная,4,21
Юго-Восточный административный округ,Южнопортовый район,Бесплатная,4,18
Юго-Восточный административный округ,Южнопортовый район,Платная,2,16
Юго-Восточный административный округ,район Выхино-Жулебино,Бесплатная,10,63
Юго-Восточный административный округ,район Выхино-Жулебино,Платная,6,30
Юго-Восточный административный округ,район Измайлово,Платная,1,10
Юго-Восточный административный округ,район Капотня,Бесплатная,4,32
Юго-Восточный административный округ,район Капотня,Платная,4,32
Юго-Восточный административный округ,район Кузьминки,Бесплатная,1,10
Юго-Восточный административный округ,район Кузьминки,Платная,2,16
Юго-Восточный административный округ,район Лефортово,Бесплатная,4,21
Юго-Восточный административный округ,район Лефортово,Платная,5,26
Юго-Восточный административный округ,район Люблино,Бесплатная,2,18
Юго-Восточный административный округ,район Люблино,Платная,3,28
Юго-Восточный административный округ,район Марьино,Платная,1,8
Юго-Восточный административный округ,район Нагатинский Затон,Бесплатная,1,8
Юго-Восточный административный округ,район Нагатинский Затон,Платная,1,8
Юго-Восточный административный округ,район Некрасовка,Бесплатная,1,12
Юго-Восточный административный округ,район Некрасовка,Платная,5,46
Юго-Восточный административный округ,район Печатники,Бесплатная,1,8
Юго-Восточный административный округ,район Печатники,Платная,1,10
Юго-Восточный административный округ,район Текстильщики,Платная,4,25
Юго-Западный административный округ,Академический район,Бесплатная,3,19
Юго-Западный административный округ,Академический район,Платная,1,8
Юго-Западный административный округ,Гагаринский район,Бесплатная,5,44
Юго-Западный административный округ,Гагаринский район,Платная,3,26
Юго-Западный административный округ,Ломоносовский район,Бесплатная,2,9
Юго-Западный административный округ,Ломоносовский район,Платная,2,11
Юго-Западный административный округ,Обручевский район,Бесплатная,5,48
Юго-Западный административный округ,Обручевский район,Платная,4,39
Юго-Западный административный округ,район Зюзино,Бесплатная,2,14
Юго-Западный административный округ,район Зюзино,Платная,4,16
Юго-Западный административный округ,район Коньково,Бесплатная,4,40
Юго-Западный административный округ,район Коньково,Платная,3,28
Юго-Западный административный округ,район Котловка,Бесплатная,3,28
Юго-Западный административный округ,район Котловка,Платная,3,26
Юго-Западный административный округ,район Северное Бутово,Бесплатная,7,60
Юго-Западный административный округ,район Северное Бутово,Платная,6,60
Юго-Западный административный округ,район Тёплый Стан,Бесплатная,4,36
Юго-Западный административный округ,район Тёплый Стан,Платная,4,25
Юго-Западный административный округ,район Черёмушки,Бесплатная,3,20
Юго-Западный административный округ,район Черёмушки,Платная,2,20
Юго-Западный административный округ,район Южное Бутово,Бесплатная,4,36
Юго-Западный административный округ,район Южное Бутово,Платная,10,92
Юго-Западный административный округ,район Ясенево,Бесплатная,9,66
Юго-Западный административный округ,район Ясенево,Платная,4,38
Южный административный округ,Даниловский район,Бесплатная,2,11
Южный административный округ,Даниловский район,Платная,3,21
Южный административный округ,Донской район,Бесплатная,3,26
Южный административный округ,Донской район,Платная,3,12
Южный административный округ,Мещанский район,Платная,1,8
Южный административный округ,Нагорный район,Бесплатная,3,30
Южный административный округ,Нагорный район,Платная,6,42
Южный административный округ,район Бирюлёво Восточное,Бесплатная,5,50
Южный административный округ,район Бирюлёво Восточное,Платная,10,90
Южный административный округ,район Бирюлёво Западное,Бесплатная,1,10
Южный административный округ,район Бирюлёво Западное,Платная,2,18
Южный административный округ,район Братеево,Бесплатная,3,17
Южный административный округ,район Братеево,Платная,3,30
Южный административный округ,район Зябликово,Бесплатная,4,40
Южный административный округ,район Зябликово,Платная,11,98
Южный административный округ,район Москворечье-Сабурово,Бесплатная,2,16
Южный административный округ,район Москворечье-Сабурово,Платная,3,22
Южный административный округ,район Нагатино-Садовники,Бесплатная,1,10
Южный административный округ,район Нагатино-Садовники,Платная,8,78
Южный административный округ,район Нагатинский Затон,Бесплатная,6,45
Южный административный округ,район Нагатинский Затон,Платная,2,20
Южный административный округ,район Орехово-Борисово Северное,Бесплатная,2,20
Южный административный округ,район Орехово-Борисово Северное,Платная,8,76
Южный административный округ,район Орехово-Борисово Южное,Бесплатная,7,66
Южный административный округ,район Орехово-Борисово Южное,Платная,10,85
Южный административный округ,район Царицыно,Бесплатная,6,56
Южный административный округ,район Царицыно,Платная,4,38
Южный административный округ,район Чертаново Северное,Бесплатная,6,58
Южный административный округ,район Чертаново Северное,Платная,2,20
Южный административный округ,район Чертаново Центральное,Бесплатная,7,68
Южный административный округ,район Чертаново Центральное,Платная,3,21
Южный административный округ,район Чертаново Южное,Бесплатная,9,86
Южный административный округ,район Чертаново Южное,Платная,4,36
