District,cost_type,count,sum
район Северное Измайлово,Бесплатная,1,1
район Северное Измайлово,Платная,2,18
район Северное Медведково,Бесплатная,9,84
район Северное Медведково,Платная,6,52
район Северное Тушино,Бесплатная,3,30
район Северное Тушино,Платная,3,30
район Северный,Бесплатная,4,36
район Северный,Платная,1,10
район Силино,Бесплатная,5,28
район Силино,Платная,1,8
район Сокол,Платная,1,10
район Соколиная Гора,Бесплатная,4,16
район Соколиная Гора,Платная,4,25
район Сокольники,Бесплатная,4,28
район Солнцево,Бесплатная,2,12
район Солнцево,Платная,2,16
район Старое Крюково,Платная,3,20
район Строгино,Бесплатная,4,34
район Строгино,Платная,4,34
район Текстильщики,Платная,4,25
район Тропарёво-Никулино,Бесплатная,1,6
район Тропарёво-Никулино,Платная,3,26
район Тёплый Стан,Бесплатная,4,36
район Тёплый Стан,Платная,4,25
район Фили-Давыдково,Платная,4,36
район Филёвский Парк,Бесплатная,1,10
район Хамовники,Бесплатная,7,24
район Хамовники,Платная,3,4
район Ховрино,Бесплатная,1,6
район Ховрино,Платная,2,12
район Хорошёво-Мнёвники,Бесплатная,1,6
район Хорошёво-Мнёвники,Платная,4,36
район Царицыно,Бесплатная,6,56
район Царицыно,Платная,4,38
район Чертаново Северное,Бесплатная,6,58
район Чертаново Северное,Платная,2,20
район Чертаново Центральное,Бесплатная,7,68
район Чертаново Центральное,Платная,3,21
район Чертаново Южное,Бесплатная,9,86
район Чертаново Южное,Платная,4,36
район Черёмушки,Бесплатная,3,20
район Черёмушки,Платная,2,20
район Щукино,Бесплатная,2,11
район Щукино,Платная,2,18
район Южное Бутово,Бесплатная,4,36
район Южное Бутово,Платная,10,92
район Южное Медведково,Бесплатная,7,60
район Южное Медведково,Платная,2,18
район Южное Тушино,Бесплатная,2,12
район Южное Тушино,Платная,5,44
район Якиманка,Бесплатная,6,18
район Якиманка,Платная,4,16
район Ясенево,Бесплатная,9,66
район Ясенево,Платная,4,38
