,,,Capacity,Capacity,rating,rating,rating
,,,count,sum,min,max,mean
Северный административный округ,район Левобережный,Бесплатная,2,18,7,8,7.5
Северный административный округ,район Левобережный,Платная,4,38,1,8,2.75
Северный административный округ,район Марфино,Платная,1,2,6,6,6.0
Северный административный округ,район Сокол,Платная,1,10,10,10,10.0
Северный административный округ,район Ховрино,Бесплатная,1,6,2,2,2.0
Северный административный округ,район Ховрино,Платная,2,12,0,9,4.5
Северо-Восточный административный округ,Алексеевский район,Бесплатная,9,88,0,9,4.777777777777778
Северо-Восточный административный округ,Алексеевский район,Платная,7,64,0,10,5.285714285714286
Северо-Восточный административный округ,Алтуфьевский район,Бесплатная,2,20,6,10,8.0
Северо-Восточный административный округ,Алтуфьевский район,Платная,3,30,0,6,3.6666666666666665
Северо-Восточный административный округ,Бабушкинский район,Бесплатная,7,62,2,9,5.0
Северо-Восточный административный округ,Бабушкинский район,Платная,9,77,2,10,6.111111111111111
Северо-Восточный административный округ,Бутырский район,Бесплатная,3,18,5,10,6.666666666666667
Северо-Восточный административный округ,Бутырский район,Платная,4,38,1,10,5.5
Северо-Восточный административный округ,Лосиноостровский район,Бесплатная,5,39,0,4,1.6
Северо-Восточный административный округ,Лосиноостровский район,Платная,6,49,2,7,5.166666666666667
Северо-Восточный административный округ,Останкинский район,Бесплатная,6,40,0,10,5.333333333333333
Северо-Восточный административный округ,Останкинский район,Платная,3,26,4,9,6.666666666666667
Северо-Восточный административный округ,Ярославский район,Бесплатная,7,68,1,9,6.0
Северо-Восточный административный округ,Ярославский район,Платная,3,28,4,7,5.333333333333333
Северо-Восточный административный округ,район Бибирево,Бесплатная,7,61,1,10,6.142857142857143
Северо-Восточный административный округ,район Бибирево,Платная,12,114,0,10,4.666666666666667
Северо-Восточный административный округ,район Лианозово,Бесплатная,8,76,0,9,3.25
Северо-Восточный административный округ,район Лианозово,Платная,4,38,0,6,3.5
Северо-Восточный административный округ,район Марфино,Бесплатная,1,8,9,9,9.0
Северо-Восточный административный округ,район Марфино,Платная,1,6,1,1,1.0
Северо-Восточный административный округ,район Марьина Роща,Бесплатная,3,30,2,9,5.666666666666667
Северо-Восточный административный округ,район Марьина Роща,Платная,3,24,2,9,6.333333333333333
Северо-Восточный административный округ,район Отрадное,Бесплатная,15,131,0,10,6.333333333333333
Северо-Восточный административный округ,район Отрадное,Платная,13,111,1,9,5.846153846153846
Северо-Восточный административный округ,район Ростокино,Бесплатная,2,18,0,4,2.0
Северо-Восточный административный округ,район Ростокино,Платная,2,20,0,3,1.5
Северо-Восточный административный округ,район Свиблово,Платная,1,10,0,0,0.0
Северо-Восточный административный округ,район Северное Медведково,Бесплатная,9,84,1,10,4.666666666666667
Северо-Восточный административный округ,район Северное Медведково,Платная,6,52,2,9,5.333333333333333
Северо-Восточный административный округ,район Северный,Бесплатная,4,36,0,9,6.5
Северо-Восточный административный округ,район Северный,Платная,1,10,8,8,8.0
Северо-Восточный административный округ,район Южное Медведково,Бесплатная,7,60,0,9,4.285714285714286
Северо-Восточный административный округ,район Южное Медведково,Платная,2,18,2,3,2.5
Северо-Западный административный округ,район Куркино,Платная,2,20,0,4,2.0
Северо-Западный административный округ,район Митино,Бесплатная,3,15,7,9,7.666666666666667
Северо-Западный административный округ,район Митино,Платная,3,18,3,6,5.0
Северо-Западный административный округ,район Покровское-Стрешнево,Бесплатная,2,16,3,4,3.5
Северо-Западный административный округ,район Покровское-Стрешнево,Платная,2,16,0,10,5.0
Северо-Западный административный округ,район Северное Тушино,Бесплатная,3,30,0,8,3.6666666666666665
Северо-Западный административный округ,район Северное Тушино,Платная,3,30,2,8,4.0
Северо-Западный административный округ,район Строгино,Бесплатная,4,34,3,7,4.5
Северо-Западный административный округ,район Строгино,Платная,4,34,0,5,3.0
Северо-Западный административный округ,район Хорошёво-Мнёвники,Бесплатная,1,6,6,6,6.0
Северо-Западный административный округ,район Хорошёво-Мнёвники,Платная,3,28,0,5,2.3333333333333335
Северо-Западный административный округ,район Щукино,Бесплатная,2,11,2,7,4.5
Северо-Западный административный округ,район Щукино,Платная,2,18,0,3,1.5
Северо-Западный административный округ,район Южное Тушино,Бесплатная,2,12,1,2,1.5
Северо-Западный административный округ,район Южное Тушино,Платная,5,44,2,9,5.2
Центральный административный округ,Басманный район,Бесплатная,37,116,0,10,4.702702702702703
Центральный административный округ,Басманный район,Платная,45,109,0,10,4.5777777777777775
Центральный административный округ,Красносельский район,Бесплатная,13,35,0,10,4.384615384615385
Центральный административный округ,Красносельский район,Платная,10,44,1,10,5.9
Центральный административный округ,Мещанский район,Бесплатная,11,34,0,9,4.0
Центральный административный округ,Мещанский район,Платная,8,18,0,9,4.875
Центральный административный округ,Пресненский район,Бесплатная,23,80,0,10,5.086956521739131
Центральный административный округ,Пресненский район,Платная,23,83,1,10,5.217391304347826
Центральный административный округ,Таганский район,Бесплатная,8,19,0,9,4.625
Центральный административный округ,Таганский район,Платная,9,20,1,10,6.666666666666667
Центральный административный округ,Тверской район,Бесплатная,19,56,0,10,4.684210526315789
Центральный административный округ,Тверской район,Платная,20,61,0,10,4.6
Центральный административный округ,район Арбат,Бесплатная,7,13,0,8,4.857142857142857
Центральный административный округ,район Арбат,Платная,7,9,1,10,5.285714285714286
Центральный административный округ,район Замоскворечье,Бесплатная,7,9,1,10,6.571428571428571
Центральный административный округ,район Замоскворечье,Платная,5,16,0,9,5.0
Центральный административный округ,район Хамовники,Бесплатная,7,24,0,9,5.0
Центральный административный округ,район Хамовники,Платная,3,4,4,9,7.0
Центральный административный округ,район Хорошёво-Мнёвники,Платная,1,8,5,5,5.0
Центральный административный округ,район Якиманка,Бесплатная,6,18,0,9,3.6666666666666665
Центральный административный округ,район Якиманка,Платная,3,8,6,8,6.666666666666667
Юго-Восточный административный округ,Гагаринский район,Бесплатная,1,8,9,9,9.0
Юго-Восточный административный округ,Нижегородский район,Бесплатная,2,16,1,7,4.0
Юго-Восточный административный округ,Рязанский район,Бесплатная,2,16,0,4,2.0
Юго-Восточный административный округ,Рязанский район,Платная,4,21,0,9,4.75
Юго-Восточный административный округ,Южнопортовый район,Бесплатная,4,18,6,9,7.5
Юго-Восточный административный округ,Южнопортовый район,Платная,2,16,2,7,4.5
Юго-Восточный административный округ,район Выхино-Жулебино,Бесплатная,10,63,0,8,3.9
Юго-Восточный административный округ,район Выхино-Жулебино,Платная,6,30,0,6,3.5
Юго-Восточный административный округ,район Измайлово,Платная,1,10,7,7,7.0
Юго-Восточный административный округ,район Капотня,Бесплатная,4,32,0,10,4.0
Юго-Восточный административный округ,район Капотня,Платная,4,32,5,9,7.25
Юго-Восточный административный округ,район Кузьминки,Бесплатная,1,10,2,2,2.0
Юго-Восточный административный округ,район Кузьминки,Платная,2,16,5,6,5.5
Юго-Восточный административный округ,район Лефортово,Бесплатная,4,21,2,10,5.25
Юго-Восточный административный округ,район Лефортово,Платная,5,26,1,10,5.0
Юго-Восточный административный округ,район Люблино,Бесплатная,2,18,0,10,5.0
Юго-Восточный административный округ,район Люблино,Платная,3,28,1,4,2.0
Юго-Восточный административный округ,район Марьино,Платная,1,8,9,9,9.0
Юго-Восточный административный округ,район Нагатинский Затон,Бесплатная,1,8,3,3,3.0
Юго-Восточный административный округ,район Нагатинский Затон,Платная,1,8,2,2,2.0
Юго-Восточный административный округ,район Некрасовка,Бесплатная,1,12,10,10,10.0
Юго-Восточный административный округ,район Некрасовка,Платная,5,46,1,8,5.0
Юго-Восточный административный округ,район Печатники,Бесплатная,1,8,9,9,9.0
Юго-Восточный административный округ,район Печатники,Платная,1,10,4,4,4.0
Юго-Восточный административный округ,район Текстильщики,Платная,4,25,2,9,6.5
Юго-Западный административный округ,Академический район,Бесплатная,3,19,0,8,3.0
Юго-Западный административный округ,Академический район,Платная,1,8,2,2,2.0
Юго-Западный административный округ,Гагаринский район,Бесплатная,5,44,1,8,4.4
Юго-Западный административный округ,Гагаринский район,Платная,3,26,0,3,2.0
Юго-Западный административный округ,Ломоносовский район,Бесплатная,2,9,0,6,3.0
Юго-Западный административный округ,Ломоносовский район,Платная,2,11,2,5,3.5
Юго-Западный административный округ,Обручевский район,Бесплатная,5,48,0,10,5.4
Юго-Западный административный округ,Обручевский район,Платная,4,39,0,1,0.25
Юго-Западный административный округ,район Зюзино,Бесплатная,2,14,7,8,7.5
Юго-Западный административный округ,район Зюзино,Платная,4,16,0,6,2.5
Юго-Западный административный округ,район Коньково,Бесплатная,4,40,1,9,4.5
Юго-Западный административный округ,район Коньково,Платная,3,28,0,7,2.6666666666666665
Юго-Западный административный округ,район Котловка,Бесплатная,3,28,1,3,1.6666666666666667
Юго-Западный административный округ,район Котловка,Платная,3,26,0,3,1.6666666666666667
Юго-Западный административный округ,район Северное Бутово,Бесплатная,7,60,0,8,4.142857142857143
Юго-Западный административный округ,район Северное Бутово,Платная,6,60,3,10,6.5
Юго-Западный административный округ,район Тёплый Стан,Бесплатная,4,36,0,9,6.0
Юго-Западный административный округ,район Тёплый Стан,Платная,4,25,8,10,9.0
Юго-Западный административный округ,район Черёмушки,Бесплатная,3,20,0,4,2.0
Юго-Западный административный округ,район Черёмушки,Платная,2,20,6,9,7.5
Юго-Западный административный округ,район Южное Бутово,Бесплатная,4,36,0,8,3.75
Юго-Западный административный округ,район Южное Бутово,Платная,10,92,0,10,4.4
Юго-Западный административный округ,район Ясенево,Бесплатная,9,66,0,9,4.888888888888889
Юго-Западный административный округ,район Ясенево,Платная,4,38,2,10,7.25
Южный административный округ,Даниловский район,Бесплатная,2,11,2,10,6.0
Южный административный округ,Даниловский район,Платная,3,21,2,9,5.0
Южный административный округ,Донской район,Бесплатная,3,26,0,8,3.0
Южный административный округ,Донской район,Платная,3,12,4,8,5.666666666666667
Южный административный округ,Мещанский район,Платная,1,8,9,9,9.0
Южный административный округ,Нагорный район,Бесплатная,3,30,1,2,1.6666666666666667
Южный административный округ,Нагорный район,Платная,6,42,1,10,5.166666666666667
Южный административный округ,район Бирюлёво Восточное,Бесплатная,5,50,7,10,8.8
Южный административный округ,район Бирюлёво Восточное,Платная,10,90,0,9,3.5
Южный административный округ,район Бирюлёво Западное,Бесплатная,1,10,8,8,8.0
Южный административный округ,район Бирюлёво Западное,Платная,2,18,3,6,4.5
Южный административный округ,район Братеево,Бесплатная,3,17,3,10,6.666666666666667
Южный административный округ,район Братеево,Платная,3,30,0,10,4.0
Южный административный округ,район Зябликово,Бесплатная,4,40,0,9,4.75
Южный административный округ,район Зябликово,Платная,11,98,0,8,4.454545454545454
Южный административный округ,район Москворечье-Сабурово,Бесплатная,2,16,6,9,7.5
Южный административный округ,район Москворечье-Сабурово,Платная,3,22,0,9,5.333333333333333
Южный административный округ,район Нагатино-Садовники,Бесплатная,1,10,5,5,5.0
Южный административный округ,район Нагатино-Садовники,Платная,8,78,1,10,4.0
Южный административный округ,район Нагатинский Затон,Бесплатная,6,45,0,8,3.3333333333333335
Южный административный округ,район Нагатинский Затон,Платная,2,20,5,6,5.5
Южный административный округ,район Орехово-Борисово Северное,Бесплатная,2,20,8,9,8.5
Южный административный округ,район Орехово-Борисово Северное,Платная,8,76,0,8,4.125
Южный административный округ,район Орехово-Борисово Южное,Бесплатная,7,66,2,9,4.428571428571429
Южный административный округ,район Орехово-Борисово Южное,Платная,10,85,0,7,2.4
Южный административный округ,район Царицыно,Бесплатная,6,56,0,5,2.6666666666666665
Южный административный округ,район Царицыно,Платная,4,38,2,10,6.5
Южный административный округ,район Чертаново Северное,Бесплатная,6,58,2,10,6.5
Южный административный округ,район Чертаново Северное,Платная,2,20,2,6,4.0
Южный административный округ,район Чертаново Центральное,Бесплатная,7,68,0,9,3.5714285714285716
Южный административный округ,район Чертаново Центральное,Платная,3,21,3,9,6.0
Южный административный округ,район Чертаново Южное,Бесплатная,9,86,3,10,6.666666666666667
Южный административный округ,район Чертаново Южное,Платная,4,36,0,9,5.0
